iter	R2	RMSE
867	0.9713330957	15730.96838
868	0.9713714876	15720.43106
869	0.971413638	15708.85404
870	0.9714562165	15697.15076
871	0.9715152685	15680.90504
872	0.9715247392	15678.29801
873	0.9715755003	15664.31741
874	0.971618901	15652.3541
875	0.9716599131	15641.04079
876	0.9716970661	15630.78497
877	0.9717441834	15617.76886
878	0.9717798869	15607.89861
879	0.9718172516	15597.5624
880	0.9718742027	15581.79483
881	0.9719072411	15572.64044
882	0.9719387725	15563.89858
883	0.9720149303	15542.76414
884	0.9720675295	15528.15059
885	0.9720908757	15521.65997
886	0.9721107022	15516.14573
887	0.9721537674	15504.16148
888	0.9722014965	15490.86854
889	0.9722262349	15483.9742
890	0.972249009	15477.62456
891	0.9722716197	15471.31792
892	0.9723139295	15459.50983
893	0.9723538016	15448.37384
894	0.9723657679	15445.03016
895	0.9723878136	15438.86814
896	0.9724351575	15425.62672
897	0.9724824152	15412.39804
898	0.9725647283	15389.32931
899	0.9726501964	15365.3397
900	0.9726932601	15353.23815
901	0.9727381818	15340.60434
902	0.9727529158	15336.45825
903	0.97278086	15328.5918
904	0.9728574936	15306.99831
905	0.9729319002	15286.00313
906	0.9729729047	15274.42064
907	0.9729917895	15269.08331
908	0.9730401915	15255.39515
909	0.9730974127	15239.19703
910	0.9731200753	15232.77697
911	0.9731538109	15223.21504
912	0.9732286837	15201.97181
913	0.973300075	15181.68865
914	0.9733227538	15175.23965
915	0.9733615012	15164.21499
916	0.9733785567	15159.35972
917	0.9734282513	15145.20401
918	0.973505736	15123.10577
919	0.9735610659	15107.30617
920	0.9735822441	15101.2543
921	0.9736359041	15085.90961
922	0.9736714611	15075.73307
923	0.9737132555	15063.76258
924	0.9737937227	15040.6888
925	0.9738247638	15031.7784
926	0.9738492152	15024.75584
927	0.9738737378	15017.70954
928	0.9739370551	14999.5007
929	0.9739612293	14992.54283
930	0.9740023792	14980.69157
931	0.9740623827	14963.39356
932	0.9740993265	14952.73336
933	0.9741467749	14939.03084
934	0.9741914424	14926.11993
935	0.9742259056	14916.15087
936	0.9742843918	14899.21751
